framework,pinned_commit,relative_path,line,behavior_kind,detail,mixed_subclass,classification_basis,source_excerpt,implemented_and_semantically_tested,coverage_gain_claimed
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,hitl_resume,spanish_agent.as_tool,EXTRACTOR_AMBIGUOUS,name heuristic found HITL-like behavior without a proven transition contract,spanish_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,73,agents_as_tools,french_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,french_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,78,agents_as_tools,italian_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,italian_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,126,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,131,state_memory,result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,132,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,136,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.approve(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,139,state_memory,state.reject,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.reject(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,145,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for item in result.new_items:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,42,agents_as_tools,billing_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,billing_agent_tool = billing_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,33,agents_as_tools,translator.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,translator.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,33,agents_as_tools,translator.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,translator.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,41,hitl_resume,tool,EXTRACTOR_AMBIGUOUS,name heuristic found HITL-like behavior without a proven transition contract,@tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,91,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while has_interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,97,state_memory,result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,98,state_memory,state.to_json,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state_json = state.to_json(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,112,state_memory,RunState.from_json,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"state = await RunState.from_json(agent, stored_state_json)",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,115,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,125,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.approve(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,128,state_memory,state.reject,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.reject(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,74,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,76,state_memory,result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,77,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,85,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.approve(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,88,hitl_resume,state.reject,FRAMEWORK_CONTRACT_BOUNDED,explicit HITL state transition has a framework-defined record contract,state.reject(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,88,state_memory,state.reject,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.reject(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,26,hitl_resume,tool,EXTRACTOR_AMBIGUOUS,name heuristic found HITL-like behavior without a proven transition contract,@tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,87,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while len(result.interruptions) > 0:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,92,state_memory,result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,94,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,104,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.approve(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,107,state_memory,state.reject,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.reject(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/input_guardrails.py,78,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while True:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/llm_as_a_judge.py,56,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while True:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/routing.py,49,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while True:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/dynamic_system_prompt.py,28,dynamic_instructions,"Name(id='custom_instructions', ctx=Load())",GENUINELY_DYNAMIC,instruction value is a runtime expression/callback,"instructions=custom_instructions,",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,108,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while True:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,143,state_memory,result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,144,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,147,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.approve(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,149,state_memory,state.reject,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.reject(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,186,agents_as_tools,policy_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,policy_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,186,agents_as_tools,policy_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,policy_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,204,state_memory,responses_websocket_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,async with responses_websocket_session() as ws:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tool_guardrails.py,65,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,"for key, value in args.items():",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tool_guardrails.py,67,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for word in sensitive_words:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tool_guardrails.py,70,hitl_resume,ToolGuardrailFunctionOutput.reject_content,FRAMEWORK_CONTRACT_BOUNDED,explicit HITL state transition has a framework-defined record contract,return ToolGuardrailFunctionOutput.reject_content(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tool_guardrails.py,98,hitl_resume,ToolGuardrailFunctionOutput.reject_content,FRAMEWORK_CONTRACT_BOUNDED,explicit HITL state transition has a framework-defined record contract,return ToolGuardrailFunctionOutput.reject_content(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/customer_service/main.py,159,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while True:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/customer_service/main.py,168,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for new_item in result.new_items:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/financials_agent.py,21,dynamic_instructions,"Name(id='FINANCIALS_PROMPT', ctx=Load())",GENUINELY_DYNAMIC,instruction value is a runtime expression/callback,"instructions=FINANCIALS_PROMPT,",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/planner_agent.py,32,dynamic_instructions,"Name(id='PROMPT', ctx=Load())",GENUINELY_DYNAMIC,instruction value is a runtime expression/callback,"instructions=PROMPT,",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/risk_agent.py,20,dynamic_instructions,"Name(id='RISK_PROMPT', ctx=Load())",GENUINELY_DYNAMIC,instruction value is a runtime expression/callback,"instructions=RISK_PROMPT,",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/search_agent.py,23,dynamic_instructions,"Name(id='INSTRUCTIONS', ctx=Load())",GENUINELY_DYNAMIC,instruction value is a runtime expression/callback,"instructions=INSTRUCTIONS,",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/verifier_agent.py,48,dynamic_instructions,"Name(id='VERIFIER_PROMPT', ctx=Load())",GENUINELY_DYNAMIC,instruction value is a runtime expression/callback,"instructions=VERIFIER_PROMPT,",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/writer_agent.py,41,dynamic_instructions,"Name(id='WRITER_PROMPT', ctx=Load())",GENUINELY_DYNAMIC,instruction value is a runtime expression/callback,"instructions=WRITER_PROMPT,",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/manager.py,186,agents_as_tools,financials_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,fundamentals_tool = financials_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/manager.py,191,agents_as_tools,risk_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,risk_tool = risk_agent.as_tool(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/connectors.py,53,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for item in run_result.new_items:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,87,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while stream_result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,88,state_memory,stream_result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = stream_result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,89,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in stream_result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,90,hitl_resume,prompt_for_interruption,FRAMEWORK_CONTRACT_BOUNDED,explicit HITL state transition has a framework-defined record contract,"approved = prompt_for_interruption(interruption.name, interruption.arguments)",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,92,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.approve(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,94,state_memory,state.reject,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.reject(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,106,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while run_result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,107,state_memory,run_result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = run_result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,108,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in run_result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,109,hitl_resume,prompt_for_interruption,FRAMEWORK_CONTRACT_BOUNDED,explicit HITL state transition has a framework-defined record contract,"approved = prompt_for_interruption(interruption.name, interruption.arguments)",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,111,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.approve(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,113,state_memory,state.reject,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.reject(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,123,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for item in run_result.new_items:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/on_approval.py,71,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while run_result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/on_approval.py,72,state_memory,run_result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"run_result = await Runner.run(agent, run_result.to_state())",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/on_approval.py,76,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for item in run_result.new_items:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/simple.py,41,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for item in run_result.new_items:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,46,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while current_result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,47,state_memory,current_result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = current_result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,49,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in current_result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,52,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.approve(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,55,state_memory,state.reject,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state.reject(interruption),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,81,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for tool in all_tools:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,100,hitl_resume,resolve_interruptions,FRAMEWORK_CONTRACT_BOUNDED,explicit HITL state transition has a framework-defined record contract,"result = await resolve_interruptions(prefetched_agent, result)",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,111,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for tool in filtered_tools:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,129,hitl_resume,resolve_interruptions,FRAMEWORK_CONTRACT_BOUNDED,explicit HITL state transition has a framework-defined record contract,"filtered_result = await resolve_interruptions(filtered_agent, filtered_result)",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/smoke_test.py,33,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while time.monotonic() < deadline:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/prompt_server/main.py,63,dynamic_instructions,"Name(id='instructions', ctx=Load())",GENUINELY_DYNAMIC,instruction value is a runtime expression/callback,"instructions=instructions,  # Instructions from MCP prompt",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/tool_filter_example/main.py,15,loop,While,GENUINELY_DYNAMIC,runtime termination or async input controls iteration,while result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/tool_filter_example/main.py,16,state_memory,result.to_state,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,state = result.to_state(),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/tool_filter_example/main.py,17,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for interruption in result.interruptions:,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/tool_filter_example/main.py,19,state_memory,state.approve,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"state.approve(interruption, always_approve=True)",NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/advanced_sqlite_session_example.py,35,state_memory,AdvancedSQLiteSession,GENUINELY_DYNAMIC,external/durable backend or runtime I/O controls state semantics,session = AdvancedSQLiteSession(,NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/advanced_sqlite_session_example.py,59,state_memory,session.store_run_usage,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,await session.store_run_usage(result),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/advanced_sqlite_session_example.py,74,state_memory,session.store_run_usage,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,await session.store_run_usage(result),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/advanced_sqlite_session_example.py,89,state_memory,session.store_run_usage,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,await session.store_run_usage(result),NO,NO
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/advanced_sqlite_session_example.py,94,state_memory,session.get_session_usage,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session_usage = await session.get_session_usage(),NO,NO
