framework,pinned_commit,relative_path,line,behavior_kind,detail,ir_v1_disposition,semantic_bucket,exact_lowering_feasibility,required_ir_primitive,classification_basis,source_excerpt
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,78,agents_as_tools,italian_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",italian_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,agents_as_tools,spanish_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",spanish_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,hitl_resume,spanish_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval policy or continuation semantics are not source-locally fixed.,spanish_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,73,agents_as_tools,french_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",french_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,78,agents_as_tools,italian_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",italian_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,109,fanout_fanin,join,UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,"FORK/JOIN/PARALLEL_GROUP with a public maximum width, ordering, cancellation, and reducer semantics",The frozen substring detector matched a non-Agent join/fork name rather than a fan-out/fan-in control primitive.,"print(f""Available tools: {', '.join(tool_names)}"")"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,126,loop,While,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"public-bounded LOOP with an explicit counter, break/continue, and failure semantics",No public literal iteration bound is established by the source-local syntax.,while result.interruptions:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,131,state_memory,result.to_state,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state = result.to_state()
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,132,loop,For,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"public-bounded LOOP with an explicit counter, break/continue, and failure semantics",No public literal iteration bound is established by the source-local syntax.,for interruption in result.interruptions:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,135,conditional_edge,confirmed,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.",if confirmed:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,136,hitl_resume,state.approve,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval/resume operation or approval requirement is syntactically explicit.,state.approve(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,136,state_memory,state.approve,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state.approve(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,139,hitl_resume,state.reject,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval/resume operation or approval requirement is syntactically explicit.,state.reject(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,139,state_memory,state.reject,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state.reject(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,143,conditional_edge,is_auto_mode(),UNSUPPORTED,ARBITRARY_CALLBACK_OR_RUNTIME,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Source predicate invokes or embeds arbitrary runtime computation.,if is_auto_mode():
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,145,loop,For,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"public-bounded LOOP with an explicit counter, break/continue, and failure semantics",No public literal iteration bound is established by the source-local syntax.,for item in result.new_items:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,147,conditional_edge,"item.type == 'tool_call_item' and isinstance(tool_name, str)",UNSUPPORTED,ARBITRARY_CALLBACK_OR_RUNTIME,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Source predicate invokes or embeds arbitrary runtime computation.,"if item.type == ""tool_call_item"" and isinstance(tool_name, str):"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,148,conditional_edge,tool_name.startswith('respond_'),UNSUPPORTED,ARBITRARY_CALLBACK_OR_RUNTIME,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Source predicate invokes or embeds arbitrary runtime computation.,"if tool_name.startswith(""respond_""):"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,150,conditional_edge,"sorted(called_tools) != ['respond_french', 'respond_spanish']",UNSUPPORTED,ARBITRARY_CALLBACK_OR_RUNTIME,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Source predicate invokes or embeds arbitrary runtime computation.,"if sorted(called_tools) != [""respond_french"", ""respond_spanish""]:"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,152,conditional_edge,not result.final_output,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.",if not result.final_output:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,158,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,42,agents_as_tools,billing_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",billing_agent_tool = billing_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,65,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,33,agents_as_tools,translator.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",translator.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,33,agents_as_tools,translator.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",translator.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,63,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,83,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,62,conditional_edge,tool_use_behavior == 'default',UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.","if tool_use_behavior == ""default"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,66,conditional_edge,tool_use_behavior == 'first_tool',UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.","elif tool_use_behavior == ""first_tool"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,68,conditional_edge,tool_use_behavior == 'custom',UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.","elif tool_use_behavior == ""custom"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,92,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,109,conditional_edge,is_auto_mode(),UNSUPPORTED,ARBITRARY_CALLBACK_OR_RUNTIME,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Source predicate invokes or embeds arbitrary runtime computation.,if is_auto_mode():
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,67,conditional_edge,is_hosted_item or is_subagent_message,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.",if is_hosted_item or is_subagent_message:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,89,conditional_edge,args.mode == 'stream',UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.","if args.mode == ""stream"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,95,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,41,hitl_resume,tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval policy or continuation semantics are not source-locally fixed.,@tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,91,loop,While,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"public-bounded LOOP with an explicit counter, break/continue, and failure semantics",No public literal iteration bound is established by the source-local syntax.,while has_interruptions:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,97,state_memory,result.to_state,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state = result.to_state()
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,98,state_memory,state.to_json,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state_json = state.to_json()
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,112,state_memory,RunState.from_json,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.","state = await RunState.from_json(agent, stored_state_json)"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,115,loop,For,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"public-bounded LOOP with an explicit counter, break/continue, and failure semantics",No public literal iteration bound is established by the source-local syntax.,for interruption in result.interruptions:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,123,conditional_edge,confirmed,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.",if confirmed:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,125,hitl_resume,state.approve,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval/resume operation or approval requirement is syntactically explicit.,state.approve(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,125,state_memory,state.approve,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state.approve(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,128,hitl_resume,state.reject,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval/resume operation or approval requirement is syntactically explicit.,state.reject(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,128,state_memory,state.reject,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state.reject(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,141,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,32,hitl_resume,tool,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval/resume operation or approval requirement is syntactically explicit.,@tool(needs_approval=True)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,74,loop,While,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"public-bounded LOOP with an explicit counter, break/continue, and failure semantics",No public literal iteration bound is established by the source-local syntax.,while result.interruptions:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,76,state_memory,result.to_state,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state = result.to_state()
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,77,loop,For,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"public-bounded LOOP with an explicit counter, break/continue, and failure semantics",No public literal iteration bound is established by the source-local syntax.,for interruption in result.interruptions:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,84,conditional_edge,approved,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,"Source predicate contains no call, lambda, await, yield, or comprehension.",if approved:
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,85,hitl_resume,state.approve,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval/resume operation or approval requirement is syntactically explicit.,state.approve(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,85,state_memory,state.approve,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state.approve(interruption)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,88,hitl_resume,state.reject,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval policy or continuation semantics are not source-locally fixed.,state.reject(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,88,state_memory,state.reject,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",state.reject(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,106,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,26,hitl_resume,tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval policy or continuation semantics are not source-locally fixed.,@tool(
