behavior_family,framework,pinned_commit,relative_path,line,semantic_bucket,source_excerpt,detail
fanout_fanin,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/local_file.py,7,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,"FILEPATH = os.path.join(os.path.dirname(__file__), ""media/partial_o3-and-o4-mini-system-card.pdf"")",os.path.join
fanout_fanin,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,602,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,"assert """".join(update.text for update in updates) == ""Final answer""",join
fanout_fanin,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,651,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,"assert """".join(update.text for update in updates) == ""[masked]""",join
fanout_fanin,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,775,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,"formatted = """".join(traceback.format_exception(type(block), block, block.__traceback__))",join
guardrail,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/input_guardrails.py,46,ARBITRARY_CALLBACK_OR_RUNTIME,async def math_guardrail(,math_guardrail
guardrail,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/input_guardrails.py,68,ARBITRARY_CALLBACK_OR_RUNTIME,"input_guardrails=[math_guardrail],",input_guardrails
guardrail,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/output_guardrails.py,38,ARBITRARY_CALLBACK_OR_RUNTIME,async def sensitive_data_check(,sensitive_data_check
hitl_resume,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,30,STRUCTURED_BOUNDED_CANDIDATE,@tool(needs_approval=True),tool
hitl_resume,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,MIXED_OR_BOUND_NOT_PROVEN,spanish_agent.as_tool(,spanish_agent.as_tool
hitl_resume,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,136,STRUCTURED_BOUNDED_CANDIDATE,state.approve(interruption),state.approve
hitl_resume,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,1004,MIXED_OR_BOUND_NOT_PROVEN,"middleware=[create_agent_hooks_middleware([guard], resolver=ApproveAll(), record_sink=records.append)],",ApproveAll
hitl_resume,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_function_invocation_logic.py,184,STRUCTURED_BOUNDED_CANDIDATE,"_store_already_approved_approval_requests(session, [old_request], [hidden_request])",_store_already_approved_approval_requests
hitl_resume,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_function_invocation_logic.py,1524,STRUCTURED_BOUNDED_CANDIDATE,"assert ""rejected"" in rejection_result.result.lower()",rejection_result.result.lower
loop,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,126,MIXED_OR_BOUND_NOT_PROVEN,while result.interruptions:,While
loop,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,132,MIXED_OR_BOUND_NOT_PROVEN,for interruption in result.interruptions:,For
loop,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,145,MIXED_OR_BOUND_NOT_PROVEN,for item in result.new_items:,For
loop,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,933,MIXED_OR_BOUND_NOT_PROVEN,for record in records:,For
loop,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,937,MIXED_OR_BOUND_NOT_PROVEN,for session_records in sessions.values():,For
loop,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,65,MIXED_OR_BOUND_NOT_PROVEN,for function_name in function_names:,For
middleware,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,168,ARBITRARY_CALLBACK_OR_RUNTIME,create_agent_hooks_middleware([AllowGuard()]),create_agent_hooks_middleware
middleware,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,172,ARBITRARY_CALLBACK_OR_RUNTIME,"create_agent_hooks_middleware_from_emitter(emitter, builder)",create_agent_hooks_middleware_from_emitter
middleware,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,180,ARBITRARY_CALLBACK_OR_RUNTIME,create_agent_hooks_middleware([]),create_agent_hooks_middleware
state_memory,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,131,MIXED_OR_BOUND_NOT_PROVEN,state = result.to_state(),result.to_state
state_memory,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,136,MIXED_OR_BOUND_NOT_PROVEN,state.approve(interruption),state.approve
state_memory,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,139,MIXED_OR_BOUND_NOT_PROVEN,state.reject(interruption),state.reject
state_memory,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/conftest.py,84,MIXED_OR_BOUND_NOT_PROVEN,exporter = InMemorySpanExporter(),InMemorySpanExporter
state_memory,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/conftest.py,105,MIXED_OR_BOUND_NOT_PROVEN,exporter = InMemoryLogRecordExporter(),InMemoryLogRecordExporter
state_memory,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/conftest.py,346,MIXED_OR_BOUND_NOT_PROVEN,return MockAgentSession(),MockAgentSession
