corpus_version,framework,pinned_commit,relative_path,workflow_unit,agent_constructors,workflow_constructors,status,executable_behavior_instances,unresolved_behavior_instances,ignored_extractor_artifacts,unresolved_families,interpretation
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/agent_lifecycle_example.py,SOURCE_FILE,2,0,FULLY_EXECUTABLE,11,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/dynamic_system_prompt.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,1,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world_gpt_5.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world_gpt_oss.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/image_tool_output.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/lifecycle_example.py,SOURCE_FILE,2,0,FULLY_EXECUTABLE,11,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/local_file.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,2,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/local_image.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,2,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/non_strict_output_type.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/previous_response_id.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,6,2,1,conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/prompt_template.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,6,1,1,conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/remote_image.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/remote_pdf.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/retry.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,2,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/retry_litellm.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,2,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_function_call_args.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,7,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_items.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,5,2,1,conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_text.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/stream_ws.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,11,14,1,agents_as_tools;conditional_edge;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tool_guardrails.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,9,10,1,conditional_edge;guardrail;hitl_resume;loop,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tools.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/usage_tracking.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/financials_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/planner_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/risk_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/search_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/verifier_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/financial_research_agent/agents/writer_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter.py,SOURCE_FILE,3,0,PARTIALLY_EXECUTABLE,13,2,1,conditional_edge;conditional_handoff_callback,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/handoffs/message_filter_streaming.py,SOURCE_FILE,3,0,PARTIALLY_EXECUTABLE,13,2,1,conditional_edge;conditional_handoff_callback,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/connectors.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,4,1,conditional_edge;loop;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/human_in_the_loop.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,23,1,conditional_edge;hitl_resume;loop;mcp_tool_boundary;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/on_approval.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,6,1,conditional_edge;loop;mcp_tool_boundary;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/hosted_mcp/simple.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,4,1,conditional_edge;loop;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/filesystem_example/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,2,conditional_edge;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/get_all_mcp_tools_example/main.py,SOURCE_FILE,3,0,PARTIALLY_EXECUTABLE,11,16,3,conditional_edge;hitl_resume;loop;mcp_tool_boundary;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/git_example/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,1,conditional_edge;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/app.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,7,1,conditional_edge;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/prompt_server/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,5,2,conditional_edge;dynamic_instructions;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_example/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,2,conditional_edge;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_remote_example/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,4,1,conditional_edge;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamable_http_remote_example/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,2,1,mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_custom_client_example/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,2,conditional_edge;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_example/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,2,conditional_edge;mcp_tool_boundary,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/tool_filter_example/main.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,8,3,conditional_edge;hitl_resume;loop;mcp_tool_boundary;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/advanced_sqlite_session_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,5,29,1,conditional_edge;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/compaction_session_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,6,1,loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/compaction_session_stateless_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,6,1,loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/dapr_session_example.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,6,40,1,conditional_edge;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/encrypted_session_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,6,1,state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/file_hitl_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,6,29,1,conditional_edge;dynamic_instructions;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/hitl_session_scenario.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,9,39,4,conditional_edge;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/memory_session_hitl_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,6,12,1,conditional_edge;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/mongodb_session_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,8,1,state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/openai_session_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,1,state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/openai_session_hitl_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,6,12,1,conditional_edge;hitl_resume;loop;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/redis_session_example.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,6,18,1,conditional_edge;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/sqlalchemy_session_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,1,state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/sqlite_session_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,1,state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/any_llm_auto.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/any_llm_provider.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_agent.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_global.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_provider.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/litellm_auto.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/litellm_provider.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,5,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/gpt_oss_stream.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,3,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/runner_example.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,3,2,conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/planner_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/search_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/writer_agent.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,3,1,0,dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/runloop/capabilities.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,11,37,2,conditional_edge;hitl_resume;loop;mcp_tool_boundary;state_memory,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/handoffs.py,SOURCE_FILE,2,0,FULLY_EXECUTABLE,7,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/sandbox_agents_as_tools.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,5,5,2,agents_as_tools;conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/tools/apply_patch.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,6,1,conditional_edge;hitl_resume,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/tools/code_interpreter.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,1,1,conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/tools/codex.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,1,1,conditional_edge,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/tools/codex_same_thread.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,4,0,1,,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/tools/computer_use.py,SOURCE_FILE,1,0,PARTIALLY_EXECUTABLE,4,2,1,conditional_edge;dynamic_instructions,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/tools/container_shell_inline_skill.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,8,4,1,conditional_edge;loop,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/tools/container_shell_skill_reference.py,SOURCE_FILE,2,0,PARTIALLY_EXECUTABLE,8,4,1,conditional_edge;loop,whole source-file workflow; all contained control behavior must close for FULL
IR-v1-frozen-membership,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/tools/file_search.py,SOURCE_FILE,1,0,FULLY_EXECUTABLE,4,0,2,,whole source-file workflow; all contained control behavior must close for FULL
